Id,Nodes,Label
14509,<scp>pixy</scp> : Unbiased estimation of nucleotide diversity and divergence in the presence of missing data,<scp>pixy</scp> : Unbiased estimation of nucleotide diversity and divergence in the presence of missing data
14510,Influence of Data Splitting on Performance of Machine Learning Models in Prediction of Shear Strength of Soil,Influence of Data Splitting on Performance of Machine Learning Models in Prediction of Shear Strength of Soil
14511,Data-Driven Strategies for Accelerated Materials Design,Data-Driven Strategies for Accelerated Materials Design
14512,Improving the Prediction of Heart Failure Patients’ Survival Using SMOTE and Effective Data Mining Techniques,Improving the Prediction of Heart Failure Patients’ Survival Using SMOTE and Effective Data Mining Techniques
14513,geomorph v4.0 and gmShiny: Enhanced analytics and a new graphical interface for a comprehensive morphometric experience,geomorph v4.0 and gmShiny: Enhanced analytics and a new graphical interface for a comprehensive morphometric experience
14514,2020 Annual Report of the American Association of Poison Control Centers’ National Poison Data System (NPDS): 38th Annual Report,2020 Annual Report of the American Association of Poison Control Centers’ National Poison Data System (NPDS): 38th Annual Report
14515,Joint Computing and Caching in 5G-Envisioned Internet of Vehicles: A Deep Reinforcement Learning-Based Traffic Control System,Joint Computing and Caching in 5G-Envisioned Internet of Vehicles: A Deep Reinforcement Learning-Based Traffic Control System
14516,Cosmic String Interpretation of NANOGrav Pulsar Timing Data,Cosmic String Interpretation of NANOGrav Pulsar Timing Data
14517,Deep learning for chest X-ray analysis: A survey,Deep learning for chest X-ray analysis: A survey
14518,The Effectiveness of the Two-Dose BNT162b2 Vaccine: Analysis of Real-World Data,The Effectiveness of the Two-Dose BNT162b2 Vaccine: Analysis of Real-World Data
14519,Interpretation of T cell states from single-cell transcriptomics data using reference atlases,Interpretation of T cell states from single-cell transcriptomics data using reference atlases
14520,The Dynamic Impact of Digital Economy on Carbon Emission Reduction: Evidence City-level Empirical Data in China,The Dynamic Impact of Digital Economy on Carbon Emission Reduction: Evidence City-level Empirical Data in China
14521,Deep Reinforcement Learning for Intelligent Transportation Systems: A Survey,Deep Reinforcement Learning for Intelligent Transportation Systems: A Survey
14522,Multi-Agent Deep Reinforcement Learning-Based Trajectory Planning for Multi-UAV Assisted Mobile Edge Computing,Multi-Agent Deep Reinforcement Learning-Based Trajectory Planning for Multi-UAV Assisted Mobile Edge Computing
14523,Wind power forecasting – A data-driven method along with gated recurrent neural network,Wind power forecasting – A data-driven method along with gated recurrent neural network
14524,InstaCovNet-19: A deep learning classification model for the detection of COVID-19 patients using Chest X-ray,InstaCovNet-19: A deep learning classification model for the detection of COVID-19 patients using Chest X-ray
14525,IceCube high-energy starting event sample: Description and flux characterization with 7.5 years of data,IceCube high-energy starting event sample: Description and flux characterization with 7.5 years of data
14526,A Deep Learning Approach for Brain Tumor Classification and Segmentation Using a Multiscale Convolutional Neural Network,A Deep Learning Approach for Brain Tumor Classification and Segmentation Using a Multiscale Convolutional Neural Network
14527,Post-COVID-19 Syndrome: The Persistent Symptoms at the Post-viral Stage of the Disease. A Systematic Review of the Current Data,Post-COVID-19 Syndrome: The Persistent Symptoms at the Post-viral Stage of the Disease. A Systematic Review of the Current Data
14528,Integration strategies of multi-omics data for machine learning analysis,Integration strategies of multi-omics data for machine learning analysis
14529,CoV-Spectrum: analysis of globally shared SARS-CoV-2 data to identify and characterize new variants,CoV-Spectrum: analysis of globally shared SARS-CoV-2 data to identify and characterize new variants
14530,"The AME 2020 atomic mass evaluation (I). Evaluation of input data, and adjustment procedures*","The AME 2020 atomic mass evaluation (I). Evaluation of input data, and adjustment procedures*"
14531,Analytical characterization of liposomes and other lipid nanoparticles for drug delivery,Analytical characterization of liposomes and other lipid nanoparticles for drug delivery
14532,Applications of deep learning in fundus images: A review,Applications of deep learning in fundus images: A review
14533,COVIDSenti: A Large-Scale Benchmark Twitter Data Set for COVID-19 Sentiment Analysis,COVIDSenti: A Large-Scale Benchmark Twitter Data Set for COVID-19 Sentiment Analysis
14534,Geometric deep learning of RNA structure,Geometric deep learning of RNA structure
14535,Abnormal lung quantification in chest CT images of COVID‐19 patients with deep learning and its application to severity prediction,Abnormal lung quantification in chest CT images of COVID‐19 patients with deep learning and its application to severity prediction
14536,Efficient and Secure Data Sharing for 5G Flying Drones: A Blockchain-Enabled Approach,Efficient and Secure Data Sharing for 5G Flying Drones: A Blockchain-Enabled Approach
14537,"<scp>DichroWeb</scp> , a website for calculating protein secondary structure from circular dichroism spectroscopic data","<scp>DichroWeb</scp> , a website for calculating protein secondary structure from circular dichroism spectroscopic data"
14538,Tracking Air Pollution in China: Near Real-Time PM<sub>2.5</sub> Retrievals from Multisource Data Fusion,Tracking Air Pollution in China: Near Real-Time PM<sub>2.5</sub> Retrievals from Multisource Data Fusion
14539,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning,A Comprehensive Survey on Graph Anomaly Detection with Deep Learning
14540,"Real-Time Polyp Detection, Localization and Segmentation in Colonoscopy Using Deep Learning","Real-Time Polyp Detection, Localization and Segmentation in Colonoscopy Using Deep Learning"
14541,A deep learning framework for building energy consumption forecast,A deep learning framework for building energy consumption forecast
14542,"COVID-19 Vaccine Hesitancy on Social Media: Building a Public Twitter Data Set of Antivaccine Content, Vaccine Misinformation, and Conspiracies","COVID-19 Vaccine Hesitancy on Social Media: Building a Public Twitter Data Set of Antivaccine Content, Vaccine Misinformation, and Conspiracies"
14543,Deep Air Quality Forecasting Using Hybrid Deep Learning Framework,Deep Air Quality Forecasting Using Hybrid Deep Learning Framework
14544,Impacts of COVID-19 pandemic on user behaviors and environmental benefits of bike sharing: A big-data analysis,Impacts of COVID-19 pandemic on user behaviors and environmental benefits of bike sharing: A big-data analysis
14545,Towards a new era of mass data collection: Assessing pandemic surveillance technologies to preserve user privacy,Towards a new era of mass data collection: Assessing pandemic surveillance technologies to preserve user privacy
14546,Intelligent fault diagnosis of machines with small &amp; imbalanced data: A state-of-the-art review and possible extensions,Intelligent fault diagnosis of machines with small &amp; imbalanced data: A state-of-the-art review and possible extensions
14547,A survey: Deep learning for hyperspectral image classification with few labeled samples,A survey: Deep learning for hyperspectral image classification with few labeled samples
14548,Diagnostic accuracy of non-invasive tests for advanced fibrosis in patients with NAFLD: an individual patient data meta-analysis,Diagnostic accuracy of non-invasive tests for advanced fibrosis in patients with NAFLD: an individual patient data meta-analysis
14549,Applications of big data in emerging management disciplines: A literature review using text mining,Applications of big data in emerging management disciplines: A literature review using text mining
14550,Revisiting COVID-19 vaccine hesitancy around the world using data from 23 countries in 2021,Revisiting COVID-19 vaccine hesitancy around the world using data from 23 countries in 2021
14551,Efficient phasing and imputation of low-coverage sequencing data using large reference panels,Efficient phasing and imputation of low-coverage sequencing data using large reference panels
14552,"The role of children in the spread of COVID-19: Using household data from Bnei Brak, Israel, to estimate the relative susceptibility and infectivity of children","The role of children in the spread of COVID-19: Using household data from Bnei Brak, Israel, to estimate the relative susceptibility and infectivity of children"
14553,Unsupervised Learning Methods for Molecular Simulation Data,Unsupervised Learning Methods for Molecular Simulation Data
14554,OPTN/SRTR 2020 Annual Data Report: Kidney,OPTN/SRTR 2020 Annual Data Report: Kidney
14555,Survey of Deep Reinforcement Learning for Motion Planning of Autonomous Vehicles,Survey of Deep Reinforcement Learning for Motion Planning of Autonomous Vehicles
14556,"Deep learning for object detection and scene perception in self-driving cars: Survey, challenges, and open issues","Deep learning for object detection and scene perception in self-driving cars: Survey, challenges, and open issues"
14557,Universal Domain Adaptation in Fault Diagnostics With Hybrid Weighted Deep Adversarial Learning,Universal Domain Adaptation in Fault Diagnostics With Hybrid Weighted Deep Adversarial Learning
14558,Street view imagery in urban analytics and GIS: A review,Street view imagery in urban analytics and GIS: A review
14559,A multi-stage semi-supervised learning approach for intelligent fault diagnosis of rolling bearing using data augmentation and metric learning,A multi-stage semi-supervised learning approach for intelligent fault diagnosis of rolling bearing using data augmentation and metric learning
14560,Integrating human brain proteomes with genome-wide association data implicates new proteins in Alzheimer’s disease pathogenesis,Integrating human brain proteomes with genome-wide association data implicates new proteins in Alzheimer’s disease pathogenesis
14561,Predictive maintenance system for production lines in manufacturing: A machine learning approach using IoT data in real-time,Predictive maintenance system for production lines in manufacturing: A machine learning approach using IoT data in real-time
14562,Thickness and structure of the martian crust from InSight seismic data,Thickness and structure of the martian crust from InSight seismic data
14563,"Deep-chest: Multi-classification deep learning model for diagnosing COVID-19, pneumonia, and lung cancer chest diseases","Deep-chest: Multi-classification deep learning model for diagnosing COVID-19, pneumonia, and lung cancer chest diseases"
14564,The impact of COVID-19 on TB: a review of the data,The impact of COVID-19 on TB: a review of the data
14565,Enforcing Analytic Constraints in Neural Networks Emulating Physical Systems,Enforcing Analytic Constraints in Neural Networks Emulating Physical Systems
14566,Big data algorithms and applications in intelligent transportation system: A review and bibliometric analysis,Big data algorithms and applications in intelligent transportation system: A review and bibliometric analysis
14567,Explainable COVID-19 Detection Using Chest CT Scans and Deep Learning,Explainable COVID-19 Detection Using Chest CT Scans and Deep Learning
14568,Mortality in STEMI patients without standard modifiable risk factors: a sex-disaggregated analysis of SWEDEHEART registry data,Mortality in STEMI patients without standard modifiable risk factors: a sex-disaggregated analysis of SWEDEHEART registry data
14569,A Python library for probabilistic analysis of single-cell omics data,A Python library for probabilistic analysis of single-cell omics data
14570,OPTN/SRTR 2020 Annual Data Report: Liver,OPTN/SRTR 2020 Annual Data Report: Liver
14571,A Comparison of Propensity Score and Linear Regression Analysis of Complex Survey Data,A Comparison of Propensity Score and Linear Regression Analysis of Complex Survey Data
14572,Cross-modality deep feature learning for brain tumor segmentation,Cross-modality deep feature learning for brain tumor segmentation
14573,Contour Stella Image and Deep Learning for Signal Recognition in the Physical Layer,Contour Stella Image and Deep Learning for Signal Recognition in the Physical Layer
14574,Toward data‐efficient learning: A benchmark for COVID‐19 CT lung and infection segmentation,Toward data‐efficient learning: A benchmark for COVID‐19 CT lung and infection segmentation
14575,Pneumonia Classification Using Deep Learning from Chest X-ray Images During COVID-19,Pneumonia Classification Using Deep Learning from Chest X-ray Images During COVID-19
14576,BirdNET: A deep learning solution for avian diversity monitoring,BirdNET: A deep learning solution for avian diversity monitoring
14577,Efficient deep learning approach for augmented detection of Coronavirus disease,Efficient deep learning approach for augmented detection of Coronavirus disease
14578,Deep diversification of an AAV capsid protein by machine learning,Deep diversification of an AAV capsid protein by machine learning
14579,Analytical mathematical approaches for the double-chain model of DNA by a novel computational technique,Analytical mathematical approaches for the double-chain model of DNA by a novel computational technique
14580,Calculating black hole shadows: Review of analytical studies,Calculating black hole shadows: Review of analytical studies
14581,Complementary green analytical procedure index (ComplexGAPI) and software,Complementary green analytical procedure index (ComplexGAPI) and software
14582,WheatOmics: A platform combining multiple omics data to accelerate functional genomics studies in wheat,WheatOmics: A platform combining multiple omics data to accelerate functional genomics studies in wheat
14583,FinnGen: Unique genetic insights from combining isolated population and national health register data,FinnGen: Unique genetic insights from combining isolated population and national health register data
14584,Deep learning for motor imagery EEG-based classification: A review,Deep learning for motor imagery EEG-based classification: A review
14585,"Federated semi-supervised learning for COVID region segmentation in chest CT using multi-national data from China, Italy, Japan","Federated semi-supervised learning for COVID region segmentation in chest CT using multi-national data from China, Italy, Japan"
14586,Deep Learning for Geophysics: Current and Future Trends,Deep Learning for Geophysics: Current and Future Trends
14587,Data-driven predictive control for unlocking building energy flexibility: A review,Data-driven predictive control for unlocking building energy flexibility: A review
14588,A data aggregation based approach to exploit dynamic spatio-temporal correlations for citywide crowd flows prediction in fog computing,A data aggregation based approach to exploit dynamic spatio-temporal correlations for citywide crowd flows prediction in fog computing
14589,LSTM Networks Using Smartphone Data for Sensor-Based Human Activity Recognition in Smart Homes,LSTM Networks Using Smartphone Data for Sensor-Based Human Activity Recognition in Smart Homes
14590,How do environmental regulation and foreign investment behavior affect green productivity growth in the industrial sector? An empirical test based on Chinese provincial panel data,How do environmental regulation and foreign investment behavior affect green productivity growth in the industrial sector? An empirical test based on Chinese provincial panel data
14591,End-to-end privacy preserving deep learning on multi-institutional medical imaging,End-to-end privacy preserving deep learning on multi-institutional medical imaging
14592,Training data-efficient image transformers & distillation through attention,Training data-efficient image transformers & distillation through attention
14593,Securing Critical Infrastructures: Deep-Learning-Based Threat Detection in IIoT,Securing Critical Infrastructures: Deep-Learning-Based Threat Detection in IIoT
14594,"Multiple knowledge representation for big data artificial intelligence: framework, applications, and case studies","Multiple knowledge representation for big data artificial intelligence: framework, applications, and case studies"
14595,ImageGP: An easy‐to‐use data visualization web server for scientific researchers,ImageGP: An easy‐to‐use data visualization web server for scientific researchers
14596,"Distributed linguistic representations in decision making: Taxonomy, key elements and applications, and challenges in data science and explainable artificial intelligence","Distributed linguistic representations in decision making: Taxonomy, key elements and applications, and challenges in data science and explainable artificial intelligence"
14597,Is one performing the treatment data of adsorption kinetics correctly?,Is one performing the treatment data of adsorption kinetics correctly?
14598,The impact of big data analytics and artificial intelligence on green supply chain process integration and hospital environmental performance,The impact of big data analytics and artificial intelligence on green supply chain process integration and hospital environmental performance
14599,IPDfromKM: reconstruct individual patient data from published Kaplan-Meier survival curves,IPDfromKM: reconstruct individual patient data from published Kaplan-Meier survival curves
14600,Improved protein structure prediction by deep learning irrespective of co-evolution information,Improved protein structure prediction by deep learning irrespective of co-evolution information
14601,Economic effects analysis of environmental regulation policy in the process of industrial structure upgrading: Evidence from Chinese provincial panel data,Economic effects analysis of environmental regulation policy in the process of industrial structure upgrading: Evidence from Chinese provincial panel data
14602,The LOFAR Two-meter Sky Survey: Deep Fields Data Release 1,The LOFAR Two-meter Sky Survey: Deep Fields Data Release 1
14603,Initialization is critical for preserving global data structure in both t-SNE and UMAP,Initialization is critical for preserving global data structure in both t-SNE and UMAP
14604,A deep learning system for detecting diabetic retinopathy across the disease spectrum,A deep learning system for detecting diabetic retinopathy across the disease spectrum
14605,The International Pulsar Timing Array second data release: Search for an isotropic gravitational wave background,The International Pulsar Timing Array second data release: Search for an isotropic gravitational wave background
14606,Carbon intensity reduction assessment of renewable energy technology innovation in China: A panel data model with cross-section dependence and slope heterogeneity,Carbon intensity reduction assessment of renewable energy technology innovation in China: A panel data model with cross-section dependence and slope heterogeneity
14607,A Comprehensive Survey on Machine Learning-Based Big Data Analytics for IoT-Enabled Smart Healthcare System,A Comprehensive Survey on Machine Learning-Based Big Data Analytics for IoT-Enabled Smart Healthcare System
14608,Attributes based skin lesion detection and recognition: A mask RCNN and transfer learning-based deep learning framework,Attributes based skin lesion detection and recognition: A mask RCNN and transfer learning-based deep learning framework
14609,Dark Energy Survey Year 3 results: Cosmology from cosmic shear and robustness to data calibration,Dark Energy Survey Year 3 results: Cosmology from cosmic shear and robustness to data calibration
14610,A critical review of improved deep learning methods for the remaining useful life prediction of lithium-ion batteries,A critical review of improved deep learning methods for the remaining useful life prediction of lithium-ion batteries
14611,Analytical solution for longitudinal vibration of a floating pile in saturated porous media based on a fictitious saturated soil pile model,Analytical solution for longitudinal vibration of a floating pile in saturated porous media based on a fictitious saturated soil pile model
14612,RNA secondary structure prediction using deep learning with thermodynamic integration,RNA secondary structure prediction using deep learning with thermodynamic integration
14613,Skin Lesion Segmentation and Multiclass Classification Using Deep Learning Features and Improved Moth Flame Optimization,Skin Lesion Segmentation and Multiclass Classification Using Deep Learning Features and Improved Moth Flame Optimization
14614,Antibody development after COVID-19 vaccination in patients with autoimmune diseases in the Netherlands: a substudy of data from two prospective cohort studies,Antibody development after COVID-19 vaccination in patients with autoimmune diseases in the Netherlands: a substudy of data from two prospective cohort studies
14615,Big Data Analytics for 6G-Enabled Massive Internet of Things,Big Data Analytics for 6G-Enabled Massive Internet of Things
14616,Multi-Disease Prediction Based on Deep Learning: A Survey,Multi-Disease Prediction Based on Deep Learning: A Survey
14617,A Survey of Data Augmentation Approaches for NLP,A Survey of Data Augmentation Approaches for NLP
14618,Green analytical chemistry metrics: A review,Green analytical chemistry metrics: A review
14619,Hands-On Bayesian Neural Networks—A Tutorial for Deep Learning Users,Hands-On Bayesian Neural Networks—A Tutorial for Deep Learning Users
14620,Contamination issues as a challenge in quality control and quality assurance in microplastics analytics,Contamination issues as a challenge in quality control and quality assurance in microplastics analytics
14621,COVID-19 lung CT image segmentation using deep learning methods: U-Net versus SegNet,COVID-19 lung CT image segmentation using deep learning methods: U-Net versus SegNet
14622,Data integration enables global biodiversity synthesis,Data integration enables global biodiversity synthesis
14623,A survey of deep meta-learning,A survey of deep meta-learning
14624,Privacy Preserving with Modified Grey Wolf Optimization Over Big Data Using Optimal K Anonymization Approach,Privacy Preserving with Modified Grey Wolf Optimization Over Big Data Using Optimal K Anonymization Approach
14625,AoI-Minimal Trajectory Planning and Data Collection in UAV-Assisted Wireless Powered IoT Networks,AoI-Minimal Trajectory Planning and Data Collection in UAV-Assisted Wireless Powered IoT Networks
14626,"A survey on blockchain for big data: Approaches, opportunities, and future directions","A survey on blockchain for big data: Approaches, opportunities, and future directions"
14627,"Real-time suicide mortality data from police reports in Queensland, Australia, during the COVID-19 pandemic: an interrupted time-series analysis","Real-time suicide mortality data from police reports in Queensland, Australia, during the COVID-19 pandemic: an interrupted time-series analysis"
14628,Online Collaborative Data Caching in Edge Computing,Online Collaborative Data Caching in Edge Computing
14629,Co-LSTM: Convolutional LSTM model for sentiment analysis in social big data,Co-LSTM: Convolutional LSTM model for sentiment analysis in social big data
14630,Quantitative Measurement of Anti-SARS-CoV-2 Antibodies: Analytical and Clinical Evaluation,Quantitative Measurement of Anti-SARS-CoV-2 Antibodies: Analytical and Clinical Evaluation
14631,Fault detection of wind turbine based on SCADA data analysis using CNN and LSTM with attention mechanism,Fault detection of wind turbine based on SCADA data analysis using CNN and LSTM with attention mechanism
14632,An Enhanced Novel Dynamic Data Processing (ENDDP) Algorithm for Predicting Heart Disease in Machine Learning,An Enhanced Novel Dynamic Data Processing (ENDDP) Algorithm for Predicting Heart Disease in Machine Learning
14633,African burned area and fire carbon emissions are strongly impacted by small fires undetected by coarse resolution satellite data,African burned area and fire carbon emissions are strongly impacted by small fires undetected by coarse resolution satellite data
14634,Utility of a Deep-Learning Algorithm to Guide Novices to Acquire Echocardiograms for Limited Diagnostic Use,Utility of a Deep-Learning Algorithm to Guide Novices to Acquire Echocardiograms for Limited Diagnostic Use
14635,Explainable deep learning for efficient and robust pattern recognition: A survey of recent developments,Explainable deep learning for efficient and robust pattern recognition: A survey of recent developments
14636,The OpenNeuro resource for sharing of neuroscience data,The OpenNeuro resource for sharing of neuroscience data
14637,BinDaaS: Blockchain-Based Deep-Learning as-a-Service in Healthcare 4.0 Applications,BinDaaS: Blockchain-Based Deep-Learning as-a-Service in Healthcare 4.0 Applications
14638,Few-Shot Hyperspectral Image Classification With Unknown Classes Using Multitask Deep Learning,Few-Shot Hyperspectral Image Classification With Unknown Classes Using Multitask Deep Learning
14639,"Sensor-Fault Detection, Isolation and Accommodation for Digital Twins via Modular Data-Driven Architecture","Sensor-Fault Detection, Isolation and Accommodation for Digital Twins via Modular Data-Driven Architecture"
14640,Implementing ensemble learning methods to predict the shear strength of RC deep beams with/without web reinforcements,Implementing ensemble learning methods to predict the shear strength of RC deep beams with/without web reinforcements
14641,Hierarchical recursive signal modeling for multifrequency signals based on discrete measured data,Hierarchical recursive signal modeling for multifrequency signals based on discrete measured data
14642,State-of-charge estimation of LiFePO4 batteries in electric vehicles: A deep-learning enabled approach,State-of-charge estimation of LiFePO4 batteries in electric vehicles: A deep-learning enabled approach
14643,Deep-Learning-Enhanced Multitarget Detection for End–Edge–Cloud Surveillance in Smart IoT,Deep-Learning-Enhanced Multitarget Detection for End–Edge–Cloud Surveillance in Smart IoT
14644,SAR Ship Detection Dataset (SSDD): Official Release and Comprehensive Data Analysis,SAR Ship Detection Dataset (SSDD): Official Release and Comprehensive Data Analysis
14645,High-entropy nanoparticles: Synthesis-structure-property relationships and data-driven discovery,High-entropy nanoparticles: Synthesis-structure-property relationships and data-driven discovery
14646,Deep Learning for Visual Tracking: A Comprehensive Survey,Deep Learning for Visual Tracking: A Comprehensive Survey
14647,A survey on deep learning-based non-invasive brain signals: recent advances and new frontiers,A survey on deep learning-based non-invasive brain signals: recent advances and new frontiers
14648,Blockchain-Enabled Secure Data Sharing Scheme in Mobile-Edge Computing: An Asynchronous Advantage Actor–Critic Learning Approach,Blockchain-Enabled Secure Data Sharing Scheme in Mobile-Edge Computing: An Asynchronous Advantage Actor–Critic Learning Approach
14649,Optimization of therapeutic antibodies by predicting antigen specificity from antibody sequence via deep learning,Optimization of therapeutic antibodies by predicting antigen specificity from antibody sequence via deep learning
14650,Clinically Applicable Segmentation of Head and Neck Anatomy for Radiotherapy: Deep Learning Algorithm Development and Validation Study,Clinically Applicable Segmentation of Head and Neck Anatomy for Radiotherapy: Deep Learning Algorithm Development and Validation Study
14651,Data Analytics for the Identification of Fake Reviews Using Supervised Learning,Data Analytics for the Identification of Fake Reviews Using Supervised Learning
14652,A Review of Deep Learning Models for Time Series Prediction,A Review of Deep Learning Models for Time Series Prediction
14653,From conventional group decision making to large-scale group decision making: What are the challenges and how to meet them in big data era? A state-of-the-art survey,From conventional group decision making to large-scale group decision making: What are the challenges and how to meet them in big data era? A state-of-the-art survey
14654,A hybrid deep-learning model for fault diagnosis of rolling bearings,A hybrid deep-learning model for fault diagnosis of rolling bearings
14655,A Multitier Deep Learning Model for Arrhythmia Detection,A Multitier Deep Learning Model for Arrhythmia Detection
14656,Deep learning for load forecasting with smart meter data: Online Adaptive Recurrent Neural Network,Deep learning for load forecasting with smart meter data: Online Adaptive Recurrent Neural Network
14657,Adaptive transfer learning for EEG motor imagery classification with deep Convolutional Neural Network,Adaptive transfer learning for EEG motor imagery classification with deep Convolutional Neural Network
14658,A New Subspace Clustering Strategy for AI-Based Data Analysis in IoT System,A New Subspace Clustering Strategy for AI-Based Data Analysis in IoT System
14659,OPTN/SRTR 2019 Annual Data Report: Lung,OPTN/SRTR 2019 Annual Data Report: Lung
14660,"Cortical thickness across the lifespan: Data from 17,075 healthy individuals aged 3–90 years","Cortical thickness across the lifespan: Data from 17,075 healthy individuals aged 3–90 years"
14661,Optimized dynamic storage of data (ODSD) in IoT based on blockchain for wireless sensor networks,Optimized dynamic storage of data (ODSD) in IoT based on blockchain for wireless sensor networks
14662,Human Activity Recognition With Smartphone and Wearable Sensors Using Deep Learning Techniques: A Review,Human Activity Recognition With Smartphone and Wearable Sensors Using Deep Learning Techniques: A Review
14663,ResMLP: Feedforward Networks for Image Classification With Data-Efficient Training,ResMLP: Feedforward Networks for Image Classification With Data-Efficient Training
14664,A Novel Deep-Learning Model for Automatic Detection and Classification of Breast Cancer Using the Transfer-Learning Technique,A Novel Deep-Learning Model for Automatic Detection and Classification of Breast Cancer Using the Transfer-Learning Technique
14665,Harnessing multimodal data integration to advance precision oncology,Harnessing multimodal data integration to advance precision oncology
14666,"Quantifying the effects of the COVID-19 pandemic on gender equality on health, social, and economic indicators: a comprehensive review of data from March, 2020, to September, 2021","Quantifying the effects of the COVID-19 pandemic on gender equality on health, social, and economic indicators: a comprehensive review of data from March, 2020, to September, 2021"
14667,Births: Final Data for 2020.,Births: Final Data for 2020.
14668,"CS<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg""><mml:msup><mml:mrow /><mml:mn>2</mml:mn></mml:msup></mml:math>-Net: Deep learning segmentation of curvilinear structures in medical imaging","CS<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si1.svg""><mml:msup><mml:mrow /><mml:mn>2</mml:mn></mml:msup></mml:math>-Net: Deep learning segmentation of curvilinear structures in medical imaging"
14669,The promise of artificial intelligence and deep learning in PET and SPECT imaging,The promise of artificial intelligence and deep learning in PET and SPECT imaging
14670,Deep Learning on Chest X-ray Images to Detect and Evaluate Pneumonia Cases at the Era of COVID-19,Deep Learning on Chest X-ray Images to Detect and Evaluate Pneumonia Cases at the Era of COVID-19
14671,Agreeprep – Analytical Greenness Metric for Sample Preparation,Agreeprep – Analytical Greenness Metric for Sample Preparation
14672,Assessing the contribution of rare variants to complex trait heritability from whole-genome sequence data,Assessing the contribution of rare variants to complex trait heritability from whole-genome sequence data
14673,"Memristive technologies for data storage, computation, encryption, and radio-frequency communication","Memristive technologies for data storage, computation, encryption, and radio-frequency communication"
14674,Big Data Driven Marine Environment Information Forecasting: A Time Series Prediction Network,Big Data Driven Marine Environment Information Forecasting: A Time Series Prediction Network
14675,BD-VTE: A Novel Baseline Data Based Verifiable Trust Evaluation Scheme for Smart Network Systems,BD-VTE: A Novel Baseline Data Based Verifiable Trust Evaluation Scheme for Smart Network Systems
14676,Deep Learning for EMG-based Human-Machine Interaction: A Review,Deep Learning for EMG-based Human-Machine Interaction: A Review
14677,Risk Prediction of Diabetes: Big data mining with fusion of multifarious physical examination indicators,Risk Prediction of Diabetes: Big data mining with fusion of multifarious physical examination indicators
14678,Vaccination against COVID-19: insight from arterial and venous thrombosis occurrence using data from VigiBase,Vaccination against COVID-19: insight from arterial and venous thrombosis occurrence using data from VigiBase
14679,GNINA 1.0: molecular docking with deep learning,GNINA 1.0: molecular docking with deep learning
14680,Design and Development of a Deep Learning-Based Model for Anomaly Detection in IoT Networks,Design and Development of a Deep Learning-Based Model for Anomaly Detection in IoT Networks
14681,Explainable artificial intelligence (XAI) in deep learning-based medical image analysis,Explainable artificial intelligence (XAI) in deep learning-based medical image analysis
14682,Design of Deep Learning Algorithm for IoT Application by Image based Recognition,Design of Deep Learning Algorithm for IoT Application by Image based Recognition
14683,Big-data approaches lead to an increased understanding of the ecology of animal movement,Big-data approaches lead to an increased understanding of the ecology of animal movement
14684,An optimized deep learning architecture for the diagnosis of COVID-19 disease based on gravitational search optimization,An optimized deep learning architecture for the diagnosis of COVID-19 disease based on gravitational search optimization
14685,Multi-Agent Deep Reinforcement Learning for HVAC Control in Commercial Buildings,Multi-Agent Deep Reinforcement Learning for HVAC Control in Commercial Buildings
14686,Molecular subtyping of Alzheimer’s disease using RNA sequencing data reveals novel mechanisms and targets,Molecular subtyping of Alzheimer’s disease using RNA sequencing data reveals novel mechanisms and targets
14687,"Integrating deep learning CT-scan model, biological and clinical variables to predict severity of COVID-19 patients","Integrating deep learning CT-scan model, biological and clinical variables to predict severity of COVID-19 patients"
14688,"Covid-19: New UK variant may be linked to increased death rate, early data indicate","Covid-19: New UK variant may be linked to increased death rate, early data indicate"
14689,Multi-agent deep reinforcement learning: a survey,Multi-agent deep reinforcement learning: a survey
14690,"Accurate distances to Galactic globular clusters through a combination of <i>Gaia</i> EDR3, <i>HST</i>, and literature data","Accurate distances to Galactic globular clusters through a combination of <i>Gaia</i> EDR3, <i>HST</i>, and literature data"
14691,Time Series Data Augmentation for Deep Learning: A Survey,Time Series Data Augmentation for Deep Learning: A Survey
14692,Doublet identification in single-cell sequencing data using scDblFinder,Doublet identification in single-cell sequencing data using scDblFinder
14693,Review on deep learning applications in frequency analysis and control of modern power system,Review on deep learning applications in frequency analysis and control of modern power system
14694,Scaffolding protein functional sites using deep learning,Scaffolding protein functional sites using deep learning
14695,"A digital twin to train deep reinforcement learning agent for smart manufacturing plants: Environment, interfaces and intelligence","A digital twin to train deep reinforcement learning agent for smart manufacturing plants: Environment, interfaces and intelligence"
14696,Image retrieval from remote sensing big data: A survey,Image retrieval from remote sensing big data: A survey
14697,Federated deep learning for detecting COVID-19 lung abnormalities in CT: a privacy-preserving multinational validation study,Federated deep learning for detecting COVID-19 lung abnormalities in CT: a privacy-preserving multinational validation study
14698,Digital interventions for the treatment of depression: A meta-analytic review.,Digital interventions for the treatment of depression: A meta-analytic review.
14699,Globalization and CO2 emissions in the presence of EKC: A global panel data analysis,Globalization and CO2 emissions in the presence of EKC: A global panel data analysis
14700,Deep learning in optical metrology: a review,Deep learning in optical metrology: a review
